lessonName,lessonTime,lessonClass,lessonTeacher,lessonDay,groupName,podGroup,numerator,id
пр.Иностранный язык,11.50-13.25 ,а.к.,Мякушкина О.В.,ВТОРНИК     ,У-206,1,0,6715
пр.Иностранный язык,11.50-13.25 ,а.к.,Мякушкина О.В.,ВТОРНИК     ,У-206,1,1,6716
пр.ИСиТ,13.35-15.10 ,339,Толстова И.С., СРЕДА      ,У-206,1,0,6717
пр.СУ предприятием (ERP),15.20-16.55 ,339,Гладких Т.В., СРЕДА      ,У-206,1,0,6718
пр.ИСиТ,15.20-16.55 ,337,Толстова И.С., СРЕДА      ,У-206,1,1,6719
пр.СУ предприятием (ERP),17.05-18.40 ,339,Гладких Т.В., СРЕДА      ,У-206,1,1,6720
"пр.Выч. системы, сети",18.50-20.25 ,337,Зайцева М.А., СРЕДА      ,У-206,1,1,6721
л.Алгоритмизация и программирование,09.45-11.20 ,334,Черняева С.Н.,ЧЕТВЕРГ     ,У-206,1,0,6722
л.Информационные системы и технологии,11.50-13.25 ,401,Коробова Л.А.,ЧЕТВЕРГ     ,У-206,1,0,6723
л.Информационные системы и технологии,11.50-13.25 ,401,Коробова Л.А.,ЧЕТВЕРГ     ,У-206,1,1,6724
пр.Основы проектного обучения,13.35-15.10 ,207,Магомедов М.Г.,ЧЕТВЕРГ     ,У-206,1,0,6725
пр.Математика,13.35-15.10 ,207,Андреев Д.Г.,ЧЕТВЕРГ     ,У-206,1,1,6726
пр.Философия,15.20-16.55 ,8,Черниговских И.В.,ЧЕТВЕРГ     ,У-206,1,0,6727
пр.Философия,15.20-16.55 ,8,Черниговских И.В.,ЧЕТВЕРГ     ,У-206,1,1,6728
пр.Мод. инф. и тех. проц.,08.00-09.35 ,332,Хромых Е.А.,ПЯТНИЦА     ,У-206,1,0,6729
пр.Иностранный язык,08.00-09.35 ,16,Мякушкина О.В.,ПЯТНИЦА     ,У-206,1,1,6730
л.Моделирование информационных и технологических процессов,09.45-11.20 ,334,Даценко Н.В.,ПЯТНИЦА     ,У-206,1,0,6731
л.Основы проектного обучения,09.45-11.20 ,37,Лыгина Л.В.,ПЯТНИЦА     ,У-206,1,1,6732
пр.Иностранный язык,11.50-13.25 ,14,Полозова С.В.,ПЯТНИЦА     ,У-206,1,0,6733
пр.Иностранный язык,11.50-13.25 ,14,Полозова С.В.,ПЯТНИЦА     ,У-206,1,1,6734
пр.Иностранный язык,13.35-15.10 ,19и,Полозова С.В.,ПЯТНИЦА     ,У-206,1,1,6735
пр.Иностранный язык,09.45-11.20 ,16,Мякушкина О.В.,ПОНЕДЕЛЬНИК ,У-206,2,0,6736
л.Философия,09.45-11.20 ,452,Черниговских И.В.,ПОНЕДЕЛЬНИК ,У-206,2,1,6737
"Элективные дисциплины (курсы) по физической культуре и спорту, общая физическая подготовка",11.50-13.25 ,-,-,ПОНЕДЕЛЬНИК ,У-206,2,0,6738
"Элективные дисциплины (курсы) по физической культуре и спорту, общая физическая подготовка",11.50-13.25 ,-,-,ПОНЕДЕЛЬНИК ,У-206,2,1,6739
